Timestamp;ts;value;Humidity
1435957277;"2015/07/04 00:01:17";14.9;85
1435957585;"2015/07/04 00:06:25";14.8;86
1435957893;"2015/07/04 00:11:33";14.7;86
1435958149;"2015/07/04 00:15:49";14.7;86
1435958456;"2015/07/04 00:20:56";14.6;86
1435958763;"2015/07/04 00:26:03";14.5;86
1435959071;"2015/07/04 00:31:11";14.4;87
1435959378;"2015/07/04 00:36:18";14.4;87
1435959686;"2015/07/04 00:41:26";14.3;87
1435959994;"2015/07/04 00:46:34";14.3;87
1435960301;"2015/07/04 00:51:41";14.2;88
1435960558;"2015/07/04 00:55:58";14.2;88
1435960866;"2015/07/04 01:01:06";14.2;88
1435961174;"2015/07/04 01:06:14";14.2;88
1435961480;"2015/07/04 01:11:20";14.2;88
1435961788;"2015/07/04 01:16:28";14.2;88
1435962097;"2015/07/04 01:21:37";14.2;88
1435962404;"2015/07/04 01:26:44";14.2;88
1435962660;"2015/07/04 01:31:00";14.1;88
1435962967;"2015/07/04 01:36:07";14.1;88
1435963275;"2015/07/04 01:41:15";14.1;89
1435963583;"2015/07/04 01:46:23";14;89
1435963890;"2015/07/04 01:51:30";14;89
1435964198;"2015/07/04 01:56:38";14;89
1435964505;"2015/07/04 02:01:45";14;89
1435964762;"2015/07/04 02:06:02";13.9;89
1435965069;"2015/07/04 02:11:09";13.8;89
1435965377;"2015/07/04 02:16:17";13.8;89
1435965685;"2015/07/04 02:21:25";13.7;89
1435965992;"2015/07/04 02:26:32";13.7;89
1435966300;"2015/07/04 02:31:40";13.7;89
1435966607;"2015/07/04 02:36:47";13.7;89
1435966911;"2015/07/04 02:41:51";13.7;89
1435967167;"2015/07/04 02:46:07";13.7;89
1435967479;"2015/07/04 02:51:19";13.7;89
1435967787;"2015/07/04 02:56:27";13.8;89
1435968093;"2015/07/04 03:01:33";13.8;89
1435968401;"2015/07/04 03:06:41";13.8;89
1435968708;"2015/07/04 03:11:48";13.8;89
1435969016;"2015/07/04 03:16:56";13.8;89
1435969325;"2015/07/04 03:22:05";13.8;89
1435969581;"2015/07/04 03:26:21";13.8;89
1435969888;"2015/07/04 03:31:28";13.8;89
1435970195;"2015/07/04 03:36:35";13.8;89
1435970503;"2015/07/04 03:41:43";13.8;89
1435970811;"2015/07/04 03:46:51";13.7;89
1435971118;"2015/07/04 03:51:58";13.7;90
1435971426;"2015/07/04 03:57:06";13.8;90
1435971682;"2015/07/04 04:01:22";13.8;90
1435971990;"2015/07/04 04:06:30";13.8;90
1435972297;"2015/07/04 04:11:37";13.8;90
1435972605;"2015/07/04 04:16:45";13.8;90
1435972913;"2015/07/04 04:21:53";13.8;90
1435973220;"2015/07/04 04:27:00";13.8;90
1435973528;"2015/07/04 04:32:08";13.8;90
1435973835;"2015/07/04 04:37:15";13.8;90
1435974092;"2015/07/04 04:41:32";13.9;90
1435974399;"2015/07/04 04:46:39";13.8;90
1435974707;"2015/07/04 04:51:47";13.9;90
1435975015;"2015/07/04 04:56:55";13.9;90
1435975322;"2015/07/04 05:02:02";13.9;90
1435975630;"2015/07/04 05:07:10";14;90
1435975937;"2015/07/04 05:12:17";14;90
1435976194;"2015/07/04 05:16:34";14;90
1435976500;"2015/07/04 05:21:40";14;90
1435976808;"2015/07/04 05:26:48";14.1;90
1435977116;"2015/07/04 05:31:56";14.1;90
1435977423;"2015/07/04 05:37:03";14.2;90
1435977732;"2015/07/04 05:42:12";14.2;90
1435978040;"2015/07/04 05:47:20";14.2;90
1435978346;"2015/07/04 05:52:26";14.2;90
1435978602;"2015/07/04 05:56:42";14.2;90
1435978910;"2015/07/04 06:01:50";14.2;90
1435979218;"2015/07/04 06:06:58";14.3;90
1435979525;"2015/07/04 06:12:05";14.5;90
1435979833;"2015/07/04 06:17:13";14.6;90
1435980141;"2015/07/04 06:22:21";14.6;89
1435980448;"2015/07/04 06:27:28";14.7;89
1435980756;"2015/07/04 06:32:36";14.8;89
1435981012;"2015/07/04 06:36:52";14.8;89
1435981320;"2015/07/04 06:42:00";14.9;89
1435981627;"2015/07/04 06:47:07";15;89
1435981934;"2015/07/04 06:52:14";15.1;89
1435982242;"2015/07/04 06:57:22";15.2;89
1435982550;"2015/07/04 07:02:30";15.3;89
1435982858;"2015/07/04 07:07:38";15.5;89
1435983113;"2015/07/04 07:11:53";15.6;89
1435983421;"2015/07/04 07:17:01";15.8;88
1435983728;"2015/07/04 07:22:08";15.9;88
1435984036;"2015/07/04 07:27:16";16;88
1435984345;"2015/07/04 07:32:25";16.1;88
1435984652;"2015/07/04 07:37:32";16.2;87
1435984960;"2015/07/04 07:42:40";16.3;87
1435985268;"2015/07/04 07:47:48";16.4;87
1435985523;"2015/07/04 07:52:03";16.5;87
1435985830;"2015/07/04 07:57:10";16.5;87
1435986138;"2015/07/04 08:02:18";16.6;86
1435986446;"2015/07/04 08:07:26";16.7;86
1435986753;"2015/07/04 08:12:33";16.8;86
1435987061;"2015/07/04 08:17:41";16.9;86
1435987369;"2015/07/04 08:22:49";17;86
1435987625;"2015/07/04 08:27:05";17;85
1435987933;"2015/07/04 08:32:13";17.1;85
1435988240;"2015/07/04 08:37:20";17.2;85
1435988548;"2015/07/04 08:42:28";17.3;85
1435988855;"2015/07/04 08:47:35";17.4;85
1435989163;"2015/07/04 08:52:43";17.6;85
1435989471;"2015/07/04 08:57:51";17.7;84
1435989778;"2015/07/04 09:02:58";17.9;84
1435990035;"2015/07/04 09:07:15";18;84
1435990342;"2015/07/04 09:12:22";18.1;84
1435990650;"2015/07/04 09:17:30";18.2;84
1435990957;"2015/07/04 09:22:37";18.4;83
1435991265;"2015/07/04 09:27:45";18.5;83
1435991573;"2015/07/04 09:32:53";18.7;83
1435991880;"2015/07/04 09:38:00";18.8;83
1435992137;"2015/07/04 09:42:17";19;82
1435992444;"2015/07/04 09:47:24";19.3;82
1435992752;"2015/07/04 09:52:32";19.5;81
1435993059;"2015/07/04 09:57:39";19.6;80
1435993367;"2015/07/04 10:02:47";19.8;80
1435993675;"2015/07/04 10:07:55";19.9;80
1435993981;"2015/07/04 10:13:01";20.2;79
1435994289;"2015/07/04 10:18:09";20.4;78
1435994545;"2015/07/04 10:22:25";20.6;77
1435994853;"2015/07/04 10:27:33";20.7;77
1435995161;"2015/07/04 10:32:41";20.7;76
1435995468;"2015/07/04 10:37:48";20.9;76
1435995776;"2015/07/04 10:42:56";21;76
1435996083;"2015/07/04 10:48:03";21.2;76
1435996391;"2015/07/04 10:53:11";21.6;76
1435996699;"2015/07/04 10:58:19";21.9;75
1435996955;"2015/07/04 11:02:35";22;74
1435997263;"2015/07/04 11:07:43";22.1;74
1435997570;"2015/07/04 11:12:50";22.1;73
1435997878;"2015/07/04 11:17:58";22.1;73
1435998185;"2015/07/04 11:23:05";22;73
1435998493;"2015/07/04 11:28:13";21.9;72
1435998801;"2015/07/04 11:33:21";21.7;73
1435999108;"2015/07/04 11:38:28";21.7;73
1435999416;"2015/07/04 11:43:36";21.6;73
1435999724;"2015/07/04 11:48:44";21.7;73
1436000030;"2015/07/04 11:53:50";21.8;73
1436000286;"2015/07/04 11:58:06";21.9;72
1436000595;"2015/07/04 12:03:15";21.8;72
1436000903;"2015/07/04 12:08:23";21.8;72
1436001209;"2015/07/04 12:13:29";21.8;73
1436001517;"2015/07/04 12:18:37";21.8;72
1436001825;"2015/07/04 12:23:45";21.9;73
1436002132;"2015/07/04 12:28:52";22.1;72
1436002440;"2015/07/04 12:34:00";22;71
1436002747;"2015/07/04 12:39:07";21.9;72
1436003056;"2015/07/04 12:44:16";22.1;73
1436003364;"2015/07/04 12:49:24";22.4;73
1436003670;"2015/07/04 12:54:30";22.8;72
1436003927;"2015/07/04 12:58:47";23;71
