Timestamp;ts;value;Humidity
1433451773;"2015/06/05 00:02:53";9.8;76
1433452081;"2015/06/05 00:08:01";9.9;76
1433452389;"2015/06/05 00:13:09";10;77
1433452695;"2015/06/05 00:18:15";10;76
1433452952;"2015/06/05 00:22:32";10;76
1433453259;"2015/06/05 00:27:39";9.9;75
1433453567;"2015/06/05 00:32:47";9.9;75
1433453875;"2015/06/05 00:37:55";9.8;75
1433454182;"2015/06/05 00:43:02";9.8;75
1433454490;"2015/06/05 00:48:10";9.9;73
1433454798;"2015/06/05 00:53:18";10;72
1433455105;"2015/06/05 00:58:25";10.1;71
1433455413;"2015/06/05 01:03:33";10.2;71
1433455720;"2015/06/05 01:08:40";10.2;70
1433456028;"2015/06/05 01:13:48";10.3;70
1433456335;"2015/06/05 01:18:55";10.3;70
1433456591;"2015/06/05 01:23:11";10.3;69
1433456900;"2015/06/05 01:28:20";10.3;69
1433457207;"2015/06/05 01:33:27";10.3;69
1433457514;"2015/06/05 01:38:34";10.3;69
1433457821;"2015/06/05 01:43:41";10.3;69
1433458129;"2015/06/05 01:48:49";10.3;69
1433458437;"2015/06/05 01:53:57";10.3;69
1433458744;"2015/06/05 01:59:04";10.3;68
1433459052;"2015/06/05 02:04:12";10.2;68
1433459360;"2015/06/05 02:09:20";10.2;68
1433459668;"2015/06/05 02:14:28";10.2;68
1433459975;"2015/06/05 02:19:35";10.1;69
1433460231;"2015/06/05 02:23:51";10.1;69
1433460539;"2015/06/05 02:28:59";10;69
1433460846;"2015/06/05 02:34:06";9.9;70
1433461154;"2015/06/05 02:39:14";9.9;70
1433461462;"2015/06/05 02:44:22";9.8;70
1433461769;"2015/06/05 02:49:29";9.7;70
1433462077;"2015/06/05 02:54:37";9.7;70
1433462384;"2015/06/05 02:59:44";9.6;71
1433462692;"2015/06/05 03:04:52";9.5;71
1433463000;"2015/06/05 03:10:00";9.5;71
1433463307;"2015/06/05 03:15:07";9.5;71
1433463615;"2015/06/05 03:20:15";9.4;71
1433463871;"2015/06/05 03:24:31";9.4;71
1433464179;"2015/06/05 03:29:39";9.3;71
1433464486;"2015/06/05 03:34:46";9.3;72
