Timestamp;ts;value;Humidity
1438290150;"2015/07/31 00:02:30";12.9;92
1438290458;"2015/07/31 00:07:38";12.9;92
1438290765;"2015/07/31 00:12:45";12.9;92
1438291073;"2015/07/31 00:17:53";12.9;92
1438291381;"2015/07/31 00:23:01";12.9;92
1438291688;"2015/07/31 00:28:08";12.9;92
1438291996;"2015/07/31 00:33:16";12.9;92
1438292303;"2015/07/31 00:38:23";13;92
1438292611;"2015/07/31 00:43:31";13;92
1438292919;"2015/07/31 00:48:39";13;92
1438293226;"2015/07/31 00:53:46";12.9;92
1438293534;"2015/07/31 00:58:54";12.9;92
1438293790;"2015/07/31 01:03:10";12.9;92
1438294098;"2015/07/31 01:08:18";12.9;92
1438294405;"2015/07/31 01:13:25";12.9;92
1438294713;"2015/07/31 01:18:33";12.9;92
1438295021;"2015/07/31 01:23:41";12.9;92
1438295328;"2015/07/31 01:28:48";12.9;92
1438295636;"2015/07/31 01:33:56";12.9;92
1438295944;"2015/07/31 01:39:04";12.9;92
1438296251;"2015/07/31 01:44:11";12.9;92
1438296559;"2015/07/31 01:49:19";12.9;92
1438296815;"2015/07/31 01:53:35";12.9;92
1438297122;"2015/07/31 01:58:42";13;93
1438297429;"2015/07/31 02:03:49";13;93
1438297737;"2015/07/31 02:08:57";12.9;92
1438298045;"2015/07/31 02:14:05";12.9;92
1438298352;"2015/07/31 02:19:12";12.8;92
1438298660;"2015/07/31 02:24:20";12.7;92
1438298967;"2015/07/31 02:29:27";12.7;92
1438299275;"2015/07/31 02:34:35";12.7;93
1438299583;"2015/07/31 02:39:43";12.7;93
1438299890;"2015/07/31 02:44:50";12.8;93
1438300198;"2015/07/31 02:49:58";12.8;93
1438300454;"2015/07/31 02:54:14";12.8;93
1438300762;"2015/07/31 02:59:22";12.8;93
1438301070;"2015/07/31 03:04:30";12.8;93
1438301377;"2015/07/31 03:09:37";12.9;93
1438301685;"2015/07/31 03:14:45";12.9;93
1438301992;"2015/07/31 03:19:52";12.9;93
1438302300;"2015/07/31 03:25:00";12.9;93
1438302608;"2015/07/31 03:30:08";12.9;93
1438302915;"2015/07/31 03:35:15";12.8;93
1438303222;"2015/07/31 03:40:22";12.8;93
1438303529;"2015/07/31 03:45:29";12.9;93
1438303838;"2015/07/31 03:50:38";12.9;94
1438304146;"2015/07/31 03:55:46";12.9;94
1438304401;"2015/07/31 04:00:01";12.9;94
1438304709;"2015/07/31 04:05:09";12.9;94
1438305017;"2015/07/31 04:10:17";12.9;94
1438305325;"2015/07/31 04:15:25";12.9;94
1438305632;"2015/07/31 04:20:32";13;94
1438305684;"2015/07/31 04:21:24";13;94
1438305991;"2015/07/31 04:26:31";13;94
1438306299;"2015/07/31 04:31:39";13;94
1438306606;"2015/07/31 04:36:46";13;94
1438306862;"2015/07/31 04:41:02";13;95
1438307171;"2015/07/31 04:46:11";13.1;95
1438307478;"2015/07/31 04:51:18";13;94
1438307786;"2015/07/31 04:56:26";13;94
1438308093;"2015/07/31 05:01:33";13;94
1438308400;"2015/07/31 05:06:40";12.9;94
1438308708;"2015/07/31 05:11:48";12.8;94
1438309015;"2015/07/31 05:16:55";12.7;94
1438309323;"2015/07/31 05:22:03";12.6;94
1438309631;"2015/07/31 05:27:11";12.5;94
1438309938;"2015/07/31 05:32:18";12.4;93
1438310194;"2015/07/31 05:36:34";12.3;93
1438310502;"2015/07/31 05:41:42";12.3;93
1438310809;"2015/07/31 05:46:49";12.2;94
1438311116;"2015/07/31 05:51:56";12.1;94
1438311425;"2015/07/31 05:57:05";12.1;94
1438311733;"2015/07/31 06:02:13";12.1;94
